"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Multi-level modeling with MELANEE.","https://scispace.com/paper/multi-level-modeling-with-melanee-4b6mnydhs4","2018","","","Arne Lange
Colin Atkinson","","https://www.wi-inf.uni-duisburg-essen.de/MULTI2018/wp-content/uploads/2018/10/multi_paper3.pdf","… deep modeling environment [14]. This supports a style of multi-level modeling often referred to as deep modeling … (ie instantiation power) as in most multi-level modeling approaches [8]. …","This paper presents a solution to the MULTI 2018 Bicycle Challenge developed using the MELANEE
deep modeling tool. The structure of the paper therefore follows the guidelines laid out in the Challenge description. After first outlining the case study and documenting which aspects are supported in the MELANEE solution, the paper presents a
detailed description of the developed deep model. This is followed by a discussion of the
strengths and weaknesses of the approach and a discussion of its benefits over traditional
two-level modeling. The presented model covers all mandatory and optional aspects of the
Challenge case study."
"Reducing accidental complexity in domain models","https://scispace.com/paper/reducing-accidental-complexity-in-domain-models-zk6svow6oe","2008","Journal Article","Software and Systems Modeling","Colin Atkinson
Thomas Kühne","10.1007/S10270-007-0061-0","http://homepages.ecs.vuw.ac.nz/~tk/publications/papers/accidental-springer-online.pdf","… a multi-level modeling paradigm and finally extends the discussion to models where multi-level modeling is … Figure 12 shows how deep instantiation can be used to represent deep …","A fundamental principle in engineering, including software engineering, is to minimize the amount of accidental complexity which is introduced into engineering solutions due to mismatches between a problem and the technology used to represent the problem. As model-driven development moves to the center stage of software engineering, it is particularly important that this principle be applied to the technologies used to create and manipulate models, especially models that are intended to be free of solution decisions. At present, however, there is a significant mismatch between the “two level” modeling paradigm used to construct mainstream domain models and the conceptual information such models are required to represent—a mismatch that makes such models more complex than they need be. In this paper, we identify the precise nature of the mismatch, discuss a number of more or less satisfactory workarounds, and show how it can be avoided."
"Multi-level modeling with LML: A contribution to the Multi-level Process Challenge","https://scispace.com/paper/multi-level-modeling-with-lml-a-contribution-to-the-multi-21ntqu2m","","Journal Article","","Arne Lange
Colin Atkinson","10.18417/emisa.17.6","https://www.emisa-journal.org/emisa/article/download/280/193","… (a) the deep instantiation mechanism (using potency) to represent ontological … multi-level modeling used in this paper is sometimes known as “deep modeling” or “deep meta-modeling” (…","This paper presents a solution to the MULTI Process Challenge which was first posed to the participants of the MULTI workshop at the MODELS conference in 2019 and subsequently adapted for this special issue of the EMISA Journal. The structure of the paper therefore follows the guidelines laid out in the Challenge description. The models are represented in the Level-agnostic Modeling Language LML and the DOCL constraint language using theMelanee deep modeling tool. After first outlining the case study and documenting which aspects are supported in the LML solution, the paper presents multi-level models for both the insurance and the software engineering domains. This is followed by a discussion of the strengths and weaknesses of the approach. The presented model covers all mandatory and optional aspects of the Challenge case study."
"A deep perspective on the archimate enterprise architecture modeling language","https://scispace.com/paper/a-deep-perspective-on-the-archimate-enterprise-architecture-3nly15g7na","2020","","","Colin Atkinson
Thomas Kühne","10.18417/EMISA.15.2","https://emisa-journal.org/emisa/article/view/148/164","… In our discussions, we focus on a specific variant of multi-level modeling, called deep modeling, which is based on the notions of orthogonal classification and deep instantiation. …","Given the scale, complexity and variety of enterprise architectures, approaches for modeling them need to be as simple and flexible as possible in order to minimize the accidental complexity within enterprise architecture models. Multi-level modeling techniques offer an effective way of achieving this but to date there has been little research into how they could contribute to enterprise architecture modeling. In this article we therefore explore how the former could be best leveraged within the latter by considering the modeling goals, architecture and principles of one of the most concrete and widely used enterprise architecture modeling standards: ArchiMate. More specifically, we discuss how the conceptual integrity of the ArchiMate standard and modeling experience could be enhanced using multi-level modeling principles. In our discussions, we focus on a specific variant of multi-level modeling, called deep modeling, which is based on the notions of orthogonal classification and deep instantiation."
"Profiles in a strict metamodeling framework","https://scispace.com/paper/profiles-in-a-strict-metamodeling-framework-2cudvqlwjp","2002","Journal Article","Science of Computer Programming","Colin Atkinson
Thomas Kühne","10.1016/S0167-6423(02)00029-1","https://www.sciencedirect.com/science/article/pii/S0167642302000291/pdf?md5=93f985f4a334d58e1df81900456b29fa&pid=1-s2.0-S0167642302000291-main.pdf&_valck=1","… The basic goal of the metamodeling approach described in … modeling to a multi-level framework. We therefore assume a … new modeling concepts at the M2 level (for instantiation) or at …",""
"Multi-Level Platform Descriptions","https://scispace.com/paper/multi-level-platform-descriptions-2nz571duua","2005","","","Colin Atkinson
Thomas Kühne","","https://homepages.ecs.vuw.ac.nz/~tk/publications/papers/multi-level-platforms.pdf","… We believe that a more general notion of “platform model” is needed based on a multi-level approach to metamodeling, distinguishing between linguistic and logical metalevels. …","The MDA approach to software development is based on the notion of automating the mapping of platform independent models into implementation-level platform specific models based on abstract models of platforms [OMG03]. The notions of “platform” and “platform model” are thus central to the whole MDA vision. However, most research on MDA to date has focused on the “transformation” problem [SPG03], and there are few explicit definitions of the notion of “platform” or “platform model” in the MDA literature. Moreover, those that do exist are rather vague and incomplete."
"Melanie: Multi-level modeling and ontology engineering environment","https://scispace.com/paper/melanie-multi-level-modeling-and-ontology-engineering-8ajawrs9l1","2012","Proceedings Article","","Colin Atkinson
Ralph Gerbig","10.1145/2448076.2448083","https://dl.acm.org/doi/pdf/10.1145/2448076.2448083","… Multi-level modeling based on deep instantiation has … MultiLevel Modeling and Ontology Engineering Environment, that has been specifically developed to support multi-level modeling …","Multi-level modeling based on deep instantiation has attracted growing interest over the last few years as a better way of creating and organizing models capturing problem domains featuring more than one classification level. However, until recently the approach has lacked practical tool support. This work introduces Melanie, a new MultiLevel Modeling and Ontology Engineering Environment, that has been specifically developed to support multi-level modeling as well as other important new modeling use cases such as unified exploratory / constructive modeling, symbiotic domain-specific / general purpose languages and interactive (meta)modeling. This work briefly explains the motivations and goals behind Melanie and provides a short overview of its features and architecture."
"Multi-level modelling in the modelverse","https://scispace.com/paper/multi-level-modelling-in-the-modelverse-qgfmr3cije","2014","","","Simon Van Mierlo
Bruno Barroca
Hans Vangheluwe
Eugene Syriani
Thomas Kühne","","http://miso.es/multi/2014/proceedings_MULTI.pdf#page=89","… deep instantiation and deep characterization using potency is explained, and we take a look at the current tool support for multi-level … Gerbig,“Melanie: Multi-level modeling and ontology …","In this paper, we introduce the Modelverse, a metamodelling framework and model repository. It clearly distinguishes and supports physical and linguistic conformance relations and allows for deep characterization and deep instantiation using potency. We introduce language fragments, which are reusable pieces of a language definition, consisting of an abstract syntax definition, as well as the definition of concrete syntax, semantics, and a mapping onto physical (representational) concepts, as suitable concepts for modular language design and reuse. We focus on multi-level modelling, and use the Modelverse to model a four-level language hierarchy, demonstrating its deep instantiation and characterization capabilities, as well as the use of modelling language fragments."
"Special issue on multi-level modeling process challenge","https://scispace.com/paper/orlo_JXWElsJ","","","","JPA Almeida
T Kühne
M Montali","","https://www.emisa-journal.org/emisa/article/download/300/190","… potency-based multi-level modeling approach (Atkinson and … for multi-level modeling, so-called process metamodeling … Model artefacts at the process metamodeling level can usefully …",""
"Field Types for Deep Characterization in Multi-Level Modeling","https://scispace.com/paper/field-types-for-deep-characterization-in-multi-level-2g7u46btoj","2023","Proceedings Article","","Thomas Kühne
João Paulo A. Almeida
Colin Atkinson
Manfred A. Jeusfeld
Gergely Mezei","10.1109/models-c59198.2023.00105","https://www.diva-portal.org/smash/get/diva2:1801933/FULLTEXT01.pdf","… Multi-Level Modeling unifies classes and objects to “clabjects”, and it has been suggested … The notion of deep instantiation for clabjects creates the possibility of “deep fields”, ie, fields …","Traditional two-level modeling approaches distin-guish between class- and object features. Using UML parlance, classes have attributes which require their instances to have object slots. Multi-Level Modeling unifies classes and objects to “clabjects”, and it has been suggested that attributes and slots can and should be unified to “fields” in a similar way. The notion of deep instantiation for clabjects creates the possibility of “deep fields”, i.e., fields that expand on the roles of pure attributes or pure slots. In this paper, we discuss several variants of such a “deep field” notion, pointing out the semantic differences and the various resulting trade-offs. We hope our observations will help clarify the range of options for supporting clabject fields in multi-level modeling and thus aid future MLM development."
