"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Matching Expectations in Ensembles: Connecting Verifiable Credentials and the Semantic Web","https://scispace.com/paper/matching-expectations-in-ensembles-connecting-verifiable-1868w0son3jc","","Journal Article","","Jan Sürmeli
Sergen Yilmaz","10.1007/978-3-031-75107-3_10","","… uses the ontology language OWL 2 Web Ontology Language [… credential schemas define the structure of the credential. … and flexibility of a decentralized identity ecosystem. That is, a …",""
"A semantic framework for defining and assessing e-identity management ecosystems based on self-sovereign identity principles","https://scispace.com/paper/_NtNvYA7NqoJ","","","","C Lepore","","https://theses.hal.science/tel-05554605/file/2025TLSES209.pdf","… However, the W3C Verifiable Credential Data Model 2.0 later … Objective: Develop a minimal, formal model that captures the … While the approach is designed to be extensible, the …",""
"Reconciling Data Verifiability and Sovereignty in Digital Sustainability Infrastructures","https://scispace.com/paper/reconciling-data-verifiability-and-sovereignty-in-digital-yt74t4udnvq8","2025","Journal Article","","Babel, Matthias","10.15495/epub_ubt_00008522","https://epub.uni-bayreuth.de/id/eprint/8522/1/Dissertation_Matthias_Babel.pdf","… the design of digital infrastructures that enable verifiable and sovereign data ecosystems for … Each individual digital product passport consists of a verifiable credential encapsulating …","Digital technologies have become pervasive, permeating nearly every aspect of the modern world. The ongoing process of datafication, which can be defined as the conversion of real-world activities into digital representations, is a major phenomenon in contemporary society and industry. In light of the pressing environmental challenges that currently exist, the growing availability of data has significant potential to support transformative sustainability efforts. Consequently, the nascent discipline of Digital Sustainability explores the potential of information systems to support environmental, economic, and social sustainability objectives. In this context, digital infrastructures play a crucial role in enabling the exchange of sustainability-related information across diverse actors, sectors, and geopolitical boundaries. The significance of this paradigm shift is underscored by concrete applications, including the need for proof-of-origin for electricity, decentralized redispatch of flexible energy assets, and the adoption of digital product passports for circular supply chains. However, the implementation of such applications exposes a fundamental structural deficiency. While they are contingent on verifiable data, which refers to the capacity to independently validate its authenticity, integrity, and context for effective decision-making, transparency, and regulatory compliance, a cohesive and integrated infrastructure to support such verifiability remains deficient. To address this limitation, data sovereignty, which describes the ability to control, manage, and share one's own data, emerges as a pivotal enabler. While verifiable data frequently exists, it often remains isolated within proprietary databases or subject to unilateral access controls, impeding its utilization and integration across diverse platforms and applications. The concept of data sovereignty has been identified as a significant solution to this challenge, as it facilitates the equitable and transparent dissemination of data across various use cases, particularly in contexts where environmental objectives are at stake. Consequently, the design of digital infrastructures must prioritize the promotion of verifiability and sovereignty. The application of data is contingent upon its reliability and fairness, both of which are contingent upon the presence of these qualities. This dual objective will serve as a foundational framework for promoting environmental, economic, and social sustainability in an integrated and equitable manner. This thesis explores the design of digital infrastructures that collectively support data verifiability and data sovereignty in sustainability-related use cases. The development of these patterns draws upon emerging technologies from the Web3 ecosystem, including self-sovereign identity, zero-knowledge proofs, blockchain, and token-based data representations. The result is a set of architectural patterns that facilitate trustworthy, privacy-preserving, and decentralized data sharing. The research is founded on a design-oriented Information Systems perspective and synthesizes insights from seven research papers. Across a range of use cases, including proof-of-origin for electricity, decentralized redispatch, and digital product passports, the thesis demonstrates the potential for verifiability and sovereignty to be realized in tandem. This approach contributes to a more comprehensive understanding of digital infrastructures as socio-technical foundations of sustainability transitions. Instead of regarding sovereignty as a compromise to verifiability, this work asserts that both sovereignty and verifiability are indispensable for inclusive, reliable, and forward-thinking digital ecosystems. "
"How to Wisely Identify Natural Subjects in Verifiable Credentials","https://scispace.com/paper/-wkb497NAfMJ","","","","E Christopher","","https://www.cs.cit.tum.de/fileadmin/w00cfj/sebis/thesis/231015_Christopher_Thesis.pdf","… another mostly overlooked aspect of Verifiable Credentials, namely credential updates. We will … of the user identification approach in SSI ecosystems, aiding them in designing their …",""
"Interoperable Architecture for Digital Identity Delegation for AI Agents with Blockchain Integration","https://scispace.com/paper/tgM6fbYF55cJ","","","","DR Saavedra Martínez","","https://repositorio.uniandes.edu.co/bitstreams/a203b40c-f97b-4dc3-974f-ef3b9defc810/download","… for verifiable delegation in digital identity systems, designed to … manual credential presentation, were never designed for this … , and control in digital ecosystems increasingly driven by …",""
"A Trust Policy Meta-Model for Trustworthy and Interoperability of Digital Identity Systems","https://scispace.com/paper/a-trust-policy-meta-model-for-trustworthy-and-tpa2d263v69t","","Journal Article","Procedia Computer Science","Dara Tith
Jean-Noël Colin","10.1016/j.procs.2025.02.067","https://www.sciencedirect.com/science/article/pii/S187705092500417X/pdf?md5=1c9d466fd684ad781c848222681057e3&pid=1-s2.0-S187705092500417X-main.pdf","… the formal meta-model to design policy models for credential … with claims known as the Verifiable Credential (VC), which … solution is adaptable to the ecosystem of any identity systems…",""
"Attribute-Based Fine-Grained Access Control Using Verifiable Credentials","https://scispace.com/paper/qtGFUDmte_sJ","","","","SC Dumpa","","https://academicworks.cuny.edu/cgi/viewcontent.cgi?article=1338&context=jj_etds","… is stored with the model as a verifiable credential. The BOM … credential schemas within the Polygon ID ecosystem. A … queries using the zCQuery language, which is used to request …",""
"Openid for verifiable credentials","https://scispace.com/paper/K8rO7W7J5e8J","","","","KN Chadwick
J Vercammen","","https://openid.net/wordpress-content/uploads/2022/05/OIDF-Whitepaper_OpenID-for-Verifiable-Credentials_FINAL_2022-05-12.pdf","… Verifiable Credential (VC)3: A verifiable credential is a … in the new ecosystem itself, where the verifiable credentials flow … around the utilized query language. When the verifier requests …",""
"Functional Requirements Engineering for Decentralized Identity Applications","https://scispace.com/paper/8ijUdKzQg3AJ","","","","XL Li","","https://www.zora.uzh.ch/server/api/core/bitstreams/e8564c63-fb88-43d5-94e8-44147bdbe811/content","… models like the W3C Verifiable Credentials and trust triangle. … for system design and evaluation in DI ecosystems. For the … status of a credential without revealing the full credential or the …",""
"A Novel Model for Authority and Access Delegation Utilizing Self-Sovereign Identity and Verifiable Credentials","https://scispace.com/paper/a-novel-model-for-authority-and-access-delegation-utilizing-3yw0jaicnycn","","Journal Article","IEEE Access","Špela Čučko
Muhamed Turkanović","10.1109/access.2025.3582312","https://ieeexplore.ieee.org/iel8/6287639/10820123/11048464.pdf","… delegation in the SSI ecosystem comprehensively. Thus, we … , interoperability, mobile-first design, and digital wallets, that … through the delegation credential, ie, a Verifiable Mandate (VM…",""
